height, code, distance, val, role, tonnes
12,E*HI[4]DQZ, 68.162,Cold,Labourer,11373
45,L*UX[5]BLH, 13.833,Cold,Leader,7813
42,B*TF[8]RHF, 77.830,Cold,Manager,3793
10,K*YO[0]UUO,  7.610,Hot,Tester,8773
42,T*VN[3]AKO, 48.438,Cold,Leader,9042
12,W*KL[7]QAN,104.883,Cold,Developer,9757
34,S*BS[7]OEG, 70.818,Cold,PA,6389
51,D*RB[1]KTV,  6.416,Hot,Manager,5062
45,I*CQ[2]BEH,105.583,Cold,Electrician,8544
18,J*MG[6]SEZ, 32.947,Cold,Electrician,8365
7,B*OC[8]GWH,103.801,Cold,Plumber,8218
49,V*Lb[5]GTQ, 77.420,Cold,Director,11048
21,U*TA[1]HIW, 94.990,Cold,Labourer,11054
41,M*YS[8]TIQ, 63.957,Hot,Cleaner,1261
42,N*WJ[9]MDM, 70.698,Hot,Storeman,4316
52,I*TY[9]ORR,114.667,Hot,Leader,8088
53,LE*FQ[4]VBC,119.108,Cold,Director,6387
53,L*YR[3]PQD, 52.563,Hot,Plumber,10769
47,D*CD[3]SQE, 97.822,Hot,Secretary,8477
40,H*CJ[3]CHW, 51.348,Hot,PA,9420
43,B*AY[6]QDD, 37.703,Cold,Plumber,8146
51,B*HZ[4]KZR, 98.228,Cold,Tester,11912
22,K*RK[9]MEK,  8.324,Cold,PA,9176
34,A*XL[7]HUF,107.336,Cold,Programmer,9970
39,K*IM[1]XBQ, 65.934,Cold,Tester,8223
40,D*EZ[2]E4C, 56.892,Cold,Director,3533
54,S*MV[9]PDE, 40.531,Hot,Co-ordinator,9268
12,E*VV[1]FEP,102.670,Cold,Labourer,10401
50,X*UT[1]VHL, 16.185,Hot,Labourer,3832
40,E*PC[1]QLX, 51.240,Hot,Co-ordinator,8012
17,B*EQ[3]ZDU, 67.465,Cold,Cleaner,10724
43,K*HC[7]WJA, 48.435,Cold,Cleaner,8730
54,A*GW[2]YYE, 82.098,Hot,Electrician,8348
54,V*LS[9]NDK, 84.747,Hot,Accountant,8614
46,M*JB[4]YRV, 30.716,Cold,PA,11939
18,T*QR[5]ETC,108.616,Hot,Developer,607
53,C*FL[Q]YTB, 37.976,Cold,Storeman,5999
48,C*JL[5]YZJ,110.080,Cold,Labourer,5371
44,K*HD[5]SDN, 24.558,Cold,Co-ordinator,10908
17,K*QQ[9]IXS, 12.052,Cold,Programmer,10506
52,N*UH[3]GAR, 84.002,Hot,Storeman,3897
23,U*UM[9]AWV,100.134,Cold,Director,10091
54,F*CM[4]QTE, 13.588,Hot,Tester,9323
51,J*JE[2]EZK, 10.093,Hot,Programmer,11035
41,O*XM[0]ZWO, 47.418,Cold,Driver,8744
49,H*LE[4]EIQ, 14.344,Cold,Programmer,3929
12,W*IE[7]GZZ, 35.327,Cold,Plumber,11202
52,A*YD[8]PNM, 42.205,Cold,Electrician,5343
54,B*QJ[4]JMH, 85.112,Cold,Director,11513
50,E*HS[1]DED,109.105,Cold,Salesman,7251
19,N*RR[9]VKH,119.733,Cold,Electrician,9904
46,C*IW[5]QJU, 53.756,Hot,Cleaner,4137
40,N*JR[9]IKL, 53.867,Hot,Driver,3445
48,A*RD[3]XZC, 28.661,Cold,Leader,6334
47,Gm*MX[7]CMI, 49.433,Hot,Co-ordinator,9121
32,R*HH[8]FFZ,105.549,Cold,Plumber,10771
50,Y*VA[1]LHO, 80.151,Cold,Leader,11747
43,R*MG4]ZCA, 64.076,Hot,Programmer,1122
44,Y*KJ[9]YPP, 89.144,Cold,Leader,11989
47,Y*JI[4]PV, 19.075,Hot,Co-ordinator,4891
49,P*VN[8]CKS, 37.058,Cold,Secretary,11978
33,O*GB[3]BSG, 49.455,Cold,Developer,3995
31,L*FW[1]KFO, 18.501,Cold,PA,100
47,V*LQ[4]HMG, 91.573,Cold,Co-ordinator,4306
33,L*PE[7]DHV,100.868,Hot,Labourer,5410
49,H*QR[4]HE,  7.996,Hot,Programmer,6452
23,R*NN[9]MNN,119.113,Cold,Developer,11861
37,Q*MJ[2]OLP,  3.488,Cold,Storeman,10154
40,R*HQ[6]INW, 53.912,Cold,Co-ordinator,11850
43,W*DK[2]EJK, 23.007,Cold,Salesman,11833
37,V*SD[2]AZF,107.961,Cold,Salesman,7157
